1/1500 cells, status=SUCCESS, 3.6s
602/1500 cells, status=SUCCESS, 1400.7s
603/1500 cells, status=SUCCESS, 1403.1s
604/1500 cells, status=SUCCESS, 1405.8s
605/1500 cells, status=SUCCESS, 1411.4s
606/1500 cells, status=SUCCESS, 1414.1s
607/1500 cells, status=SUCCESS, 1416.7s
608/1500 cells, status=SUCCESS, 1419.1s
609/1500 cells, status=SUCCESS, 1421.8s
610/1500 cells, status=SUCCESS, 1424.4s
611/1500 cells, status=SUCCESS, 1427.1s
612/1500 cells, status=SUCCESS, 1429.7s
613/1500 cells, status=SUCCESS, 1432.0s
614/1500 cells, status=SUCCESS, 1434.7s
615/1500 cells, status=SUCCESS, 1437.3s
616/1500 cells, status=SUCCESS, 1440.0s
617/1500 cells, status=SUCCESS, 1442.6s
618/1500 cells, status=SUCCESS, 1447.9s
619/1500 cells, status=SUCCESS, 1450.6s
620/1500 cells, status=SUCCESS, 1453.2s
621/1500 cells, status=SUCCESS, 1455.9s
622/1500 cells, status=SUCCESS, 1458.6s
623/1500 cells, status=SUCCESS, 1460.9s
624/1500 cells, status=SUCCESS, 1463.7s
625/1500 cells, status=SUCCESS, 1466.2s
626/1500 cells, status=SUCCESS, 1469.0s
627/1500 cells, status=SUCCESS, 1471.6s
628/1500 cells, status=SUCCESS, 1473.9s
629/1500 cells, status=SUCCESS, 1476.6s
630/1500 cells, status=SUCCESS, 1482.1s
631/1500 cells, status=SUCCESS, 1484.9s
632/1500 cells, status=SUCCESS, 1487.5s
633/1500 cells, status=SUCCESS, 1489.9s
634/1500 cells, status=SUCCESS, 1492.6s
635/1500 cells, status=SUCCESS, 1495.2s
636/1500 cells, status=SUCCESS, 1497.9s
637/1500 cells, status=SUCCESS, 1500.6s
638/1500 cells, status=SUCCESS, 1503.0s
639/1500 cells, status=SUCCESS, 1505.7s
640/1500 cells, status=SUCCESS, 1508.2s
641/1500 cells, status=SUCCESS, 1511.0s
642/1500 cells, status=SUCCESS, 1513.6s
643/1500 cells, status=SUCCESS, 1519.0s
644/1500 cells, status=SUCCESS, 1521.7s
645/1500 cells, status=SUCCESS, 1524.3s
646/1500 cells, status=SUCCESS, 1527.0s
647/1500 cells, status=SUCCESS, 1529.7s
648/1500 cells, status=SUCCESS, 1532.0s
649/1500 cells, status=SUCCESS, 1534.8s
650/1500 cells, status=SUCCESS, 1537.3s
651/1500 cells, status=SUCCESS, 1540.1s
652/1500 cells, status=SUCCESS, 1543.0s
653/1500 cells, status=SUCCESS, 1545.4s
654/1500 cells, status=SUCCESS, 1547.9s
655/1500 cells, status=SUCCESS, 1553.3s
656/1500 cells, status=SUCCESS, 1556.0s
657/1500 cells, status=SUCCESS, 1558.9s
658/1500 cells, status=SUCCESS, 1561.2s
659/1500 cells, status=SUCCESS, 1563.7s
660/1500 cells, status=SUCCESS, 1566.3s
661/1500 cells, status=SUCCESS, 1568.9s
662/1500 cells, status=SUCCESS, 1571.6s
663/1500 cells, status=SUCCESS, 1574.0s
664/1500 cells, status=SUCCESS, 1576.5s
665/1500 cells, status=SUCCESS, 1579.1s
666/1500 cells, status=SUCCESS, 1581.7s
667/1500 cells, status=SUCCESS, 1584.4s
668/1500 cells, status=SUCCESS, 1589.8s
669/1500 cells, status=SUCCESS, 1592.3s
670/1500 cells, status=SUCCESS, 1594.9s
671/1500 cells, status=SUCCESS, 1597.6s
672/1500 cells, status=SUCCESS, 1600.3s
673/1500 cells, status=SUCCESS, 1602.7s
674/1500 cells, status=SUCCESS, 1605.2s
675/1500 cells, status=SUCCESS, 1607.8s
676/1500 cells, status=SUCCESS, 1610.2s
677/1500 cells, status=SUCCESS, 1612.7s
678/1500 cells, status=SUCCESS, 1614.8s
679/1500 cells, status=SUCCESS, 1617.0s
680/1500 cells, status=SUCCESS, 1619.2s
681/1500 cells, status=SUCCESS, 1624.4s
682/1500 cells, status=SUCCESS, 1626.7s
683/1500 cells, status=SUCCESS, 1628.9s
684/1500 cells, status=SUCCESS, 1631.1s
685/1500 cells, status=SUCCESS, 1633.3s
686/1500 cells, status=SUCCESS, 1635.7s
687/1500 cells, status=SUCCESS, 1638.0s
688/1500 cells, status=SUCCESS, 1640.2s
689/1500 cells, status=SUCCESS, 1642.4s
690/1500 cells, status=SUCCESS, 1644.6s
691/1500 cells, status=SUCCESS, 1646.8s
692/1500 cells, status=SUCCESS, 1649.1s
693/1500 cells, status=SUCCESS, 1651.3s
694/1500 cells, status=SUCCESS, 1653.4s
695/1500 cells, status=SUCCESS, 1655.6s
696/1500 cells, status=SUCCESS, 1660.8s
697/1500 cells, status=SUCCESS, 1663.0s
698/1500 cells, status=SUCCESS, 1665.2s
699/1500 cells, status=SUCCESS, 1667.4s
700/1500 cells, status=SUCCESS, 1669.6s
701/1500 cells, status=SUCCESS, 1671.8s
702/1500 cells, status=SUCCESS, 1674.2s
703/1500 cells, status=SUCCESS, 1676.4s
704/1500 cells, status=SUCCESS, 1678.6s
705/1500 cells, status=SUCCESS, 1680.8s
706/1500 cells, status=SUCCESS, 1682.9s
707/1500 cells, status=SUCCESS, 1685.3s
708/1500 cells, status=SUCCESS, 1687.4s
709/1500 cells, status=SUCCESS, 1689.6s
710/1500 cells, status=SUCCESS, 1694.8s
711/1500 cells, status=SUCCESS, 1696.9s
712/1500 cells, status=SUCCESS, 1699.3s
713/1500 cells, status=SUCCESS, 1701.5s
714/1500 cells, status=SUCCESS, 1703.7s
715/1500 cells, status=SUCCESS, 1705.9s
716/1500 cells, status=SUCCESS, 1708.0s
717/1500 cells, status=SUCCESS, 1710.4s
718/1500 cells, status=SUCCESS, 1712.7s
719/1500 cells, status=SUCCESS, 1714.8s
720/1500 cells, status=SUCCESS, 1717.0s
721/1500 cells, status=SUCCESS, 1719.2s
722/1500 cells, status=SUCCESS, 1721.4s
723/1500 cells, status=SUCCESS, 1723.6s
724/1500 cells, status=SUCCESS, 1725.8s
725/1500 cells, status=SUCCESS, 1730.9s
726/1500 cells, status=SUCCESS, 1733.1s
727/1500 cells, status=SUCCESS, 1735.4s
728/1500 cells, status=SUCCESS, 1737.7s
729/1500 cells, status=SUCCESS, 1739.9s
730/1500 cells, status=SUCCESS, 1742.1s
731/1500 cells, status=SUCCESS, 1744.2s
732/1500 cells, status=SUCCESS, 1746.6s
733/1500 cells, status=SUCCESS, 1748.8s
734/1500 cells, status=SUCCESS, 1751.1s
735/1500 cells, status=SUCCESS, 1753.3s
736/1500 cells, status=SUCCESS, 1755.5s
737/1500 cells, status=SUCCESS, 1757.7s
738/1500 cells, status=SUCCESS, 1760.1s
739/1500 cells, status=SUCCESS, 1765.4s
740/1500 cells, status=SUCCESS, 1767.6s
741/1500 cells, status=SUCCESS, 1769.8s
742/1500 cells, status=SUCCESS, 1772.1s
743/1500 cells, status=SUCCESS, 1774.4s
744/1500 cells, status=SUCCESS, 1776.7s
745/1500 cells, status=SUCCESS, 1778.9s
746/1500 cells, status=SUCCESS, 1781.1s
747/1500 cells, status=SUCCESS, 1783.3s
748/1500 cells, status=SUCCESS, 1785.6s
749/1500 cells, status=SUCCESS, 1788.0s
750/1500 cells, status=SUCCESS, 1790.2s
751/1500 cells, status=SUCCESS, 1792.6s
752/1500 cells, status=SUCCESS, 1794.6s
753/1500 cells, status=SUCCESS, 1796.7s
754/1500 cells, status=SUCCESS, 1802.3s
755/1500 cells, status=SUCCESS, 1804.1s
756/1500 cells, status=SUCCESS, 1806.7s
757/1500 cells, status=SUCCESS, 1808.7s
758/1500 cells, status=SUCCESS, 1810.9s
759/1500 cells, status=SUCCESS, 1813.2s
760/1500 cells, status=SUCCESS, 1815.1s
761/1500 cells, status=SUCCESS, 1817.7s
762/1500 cells, status=SUCCESS, 1819.7s
763/1500 cells, status=SUCCESS, 1821.9s
764/1500 cells, status=SUCCESS, 1824.2s
765/1500 cells, status=SUCCESS, 1826.1s
766/1500 cells, status=SUCCESS, 1828.6s
767/1500 cells, status=SUCCESS, 1830.6s
768/1500 cells, status=SUCCESS, 1832.7s
769/1500 cells, status=SUCCESS, 1838.1s
770/1500 cells, status=SUCCESS, 1839.9s
771/1500 cells, status=SUCCESS, 1842.6s
772/1500 cells, status=SUCCESS, 1844.6s
773/1500 cells, status=SUCCESS, 1846.8s
774/1500 cells, status=SUCCESS, 1849.2s
775/1500 cells, status=SUCCESS, 1851.1s
776/1500 cells, status=SUCCESS, 1853.4s
777/1500 cells, status=SUCCESS, 1855.4s
778/1500 cells, status=SUCCESS, 1857.6s
779/1500 cells, status=SUCCESS, 1860.0s
780/1500 cells, status=SUCCESS, 1861.9s
781/1500 cells, status=SUCCESS, 1864.4s
782/1500 cells, status=SUCCESS, 1866.4s
783/1500 cells, status=SUCCESS, 1868.6s
784/1500 cells, status=SUCCESS, 1874.1s
785/1500 cells, status=SUCCESS, 1875.9s
786/1500 cells, status=SUCCESS, 1878.5s
787/1500 cells, status=SUCCESS, 1880.5s
788/1500 cells, status=SUCCESS, 1882.7s
789/1500 cells, status=SUCCESS, 1885.1s
790/1500 cells, status=SUCCESS, 1886.9s
791/1500 cells, status=SUCCESS, 1889.3s
792/1500 cells, status=SUCCESS, 1891.3s
793/1500 cells, status=SUCCESS, 1893.5s
794/1500 cells, status=SUCCESS, 1895.9s
795/1500 cells, status=SUCCESS, 1897.7s
796/1500 cells, status=SUCCESS, 1900.3s
797/1500 cells, status=SUCCESS, 1902.3s
798/1500 cells, status=SUCCESS, 1907.4s
799/1500 cells, status=SUCCESS, 1909.8s
800/1500 cells, status=SUCCESS, 1911.7s
801/1500 cells, status=SUCCESS, 1914.1s
802/1500 cells, status=SUCCESS, 1916.1s
803/1500 cells, status=SUCCESS, 1918.1s
804/1500 cells, status=SUCCESS, 1920.5s
805/1500 cells, status=SUCCESS, 1922.3s
806/1500 cells, status=SUCCESS, 1924.7s
807/1500 cells, status=SUCCESS, 1926.7s
808/1500 cells, status=SUCCESS, 1928.9s
809/1500 cells, status=SUCCESS, 1931.2s
810/1500 cells, status=SUCCESS, 1933.2s
811/1500 cells, status=SUCCESS, 1935.5s
812/1500 cells, status=SUCCESS, 1937.5s
813/1500 cells, status=SUCCESS, 1942.7s
814/1500 cells, status=SUCCESS, 1945.0s
815/1500 cells, status=SUCCESS, 1946.9s
816/1500 cells, status=SUCCESS, 1949.2s
817/1500 cells, status=SUCCESS, 1951.2s
818/1500 cells, status=SUCCESS, 1953.4s
819/1500 cells, status=SUCCESS, 1955.8s
820/1500 cells, status=SUCCESS, 1957.7s
821/1500 cells, status=SUCCESS, 1960.0s
822/1500 cells, status=SUCCESS, 1962.0s
823/1500 cells, status=SUCCESS, 1964.2s
824/1500 cells, status=SUCCESS, 1966.6s
825/1500 cells, status=SUCCESS, 1968.4s
826/1500 cells, status=SUCCESS, 1973.0s
827/1500 cells, status=SUCCESS, 1979.3s
828/1500 cells, status=SUCCESS, 1983.3s
829/1500 cells, status=SUCCESS, 1987.2s
830/1500 cells, status=SUCCESS, 1990.8s
831/1500 cells, status=SUCCESS, 1995.3s
832/1500 cells, status=SUCCESS, 1998.7s
833/1500 cells, status=SUCCESS, 2002.6s
834/1500 cells, status=SUCCESS, 2006.5s
835/1500 cells, status=SUCCESS, 2010.2s
836/1500 cells, status=SUCCESS, 2017.7s
837/1500 cells, status=SUCCESS, 2021.1s
838/1500 cells, status=SUCCESS, 2025.2s
839/1500 cells, status=SUCCESS, 2029.0s
840/1500 cells, status=SUCCESS, 2032.7s
841/1500 cells, status=SUCCESS, 2037.2s
842/1500 cells, status=SUCCESS, 2040.6s
843/1500 cells, status=SUCCESS, 2044.9s
844/1500 cells, status=SUCCESS, 2051.6s
845/1500 cells, status=SUCCESS, 2055.3s
846/1500 cells, status=SUCCESS, 2059.8s
847/1500 cells, status=SUCCESS, 2062.9s
848/1500 cells, status=SUCCESS, 2066.9s
849/1500 cells, status=SUCCESS, 2070.8s
850/1500 cells, status=SUCCESS, 2074.5s
851/1500 cells, status=SUCCESS, 2079.0s
852/1500 cells, status=SUCCESS, 2085.3s
853/1500 cells, status=SUCCESS, 2089.3s
854/1500 cells, status=SUCCESS, 2093.0s
855/1500 cells, status=SUCCESS, 2096.7s
856/1500 cells, status=SUCCESS, 2101.2s
857/1500 cells, status=SUCCESS, 2104.5s
858/1500 cells, status=SUCCESS, 2108.5s
859/1500 cells, status=SUCCESS, 2112.4s
860/1500 cells, status=SUCCESS, 2116.1s
861/1500 cells, status=SUCCESS, 2123.6s
862/1500 cells, status=SUCCESS, 2126.9s
863/1500 cells, status=SUCCESS, 2131.3s
864/1500 cells, status=SUCCESS, 2135.1s
865/1500 cells, status=SUCCESS, 2138.8s
866/1500 cells, status=SUCCESS, 2143.3s
867/1500 cells, status=SUCCESS, 2146.7s
868/1500 cells, status=SUCCESS, 2150.7s
869/1500 cells, status=SUCCESS, 2157.5s
870/1500 cells, status=SUCCESS, 2161.2s
871/1500 cells, status=SUCCESS, 2165.7s
872/1500 cells, status=SUCCESS, 2169.1s
873/1500 cells, status=SUCCESS, 2173.5s
874/1500 cells, status=SUCCESS, 2177.3s
875/1500 cells, status=SUCCESS, 2181.0s
876/1500 cells, status=SUCCESS, 2185.5s
877/1500 cells, status=SUCCESS, 2191.8s
878/1500 cells, status=SUCCESS, 2196.2s
879/1500 cells, status=SUCCESS, 2199.9s
880/1500 cells, status=SUCCESS, 2203.5s
881/1500 cells, status=SUCCESS, 2208.1s
882/1500 cells, status=SUCCESS, 2211.5s
883/1500 cells, status=SUCCESS, 2215.6s
884/1500 cells, status=SUCCESS, 2219.4s
885/1500 cells, status=SUCCESS, 2223.1s
886/1500 cells, status=SUCCESS, 2230.6s
887/1500 cells, status=SUCCESS, 2234.0s
888/1500 cells, status=SUCCESS, 2238.1s
889/1500 cells, status=SUCCESS, 2242.0s
890/1500 cells, status=SUCCESS, 2245.7s
891/1500 cells, status=SUCCESS, 2250.1s
892/1500 cells, status=SUCCESS, 2253.5s
893/1500 cells, status=SUCCESS, 2257.6s
894/1500 cells, status=SUCCESS, 2264.4s
895/1500 cells, status=SUCCESS, 2268.0s
896/1500 cells, status=SUCCESS, 2272.5s
897/1500 cells, status=SUCCESS, 2275.9s
898/1500 cells, status=SUCCESS, 2280.0s
899/1500 cells, status=SUCCESS, 2283.9s
900/1500 cells, status=SUCCESS, 2287.6s
901/1500 cells, status=SUCCESS, 2290.5s
902/1500 cells, status=SUCCESS, 2293.8s
903/1500 cells, status=SUCCESS, 2299.9s
904/1500 cells, status=SUCCESS, 2302.9s
905/1500 cells, status=SUCCESS, 2306.1s
906/1500 cells, status=SUCCESS, 2311.2s
907/1500 cells, status=SUCCESS, 2317.1s
908/1500 cells, status=SUCCESS, 2322.9s
909/1500 cells, status=SUCCESS, 2328.3s
910/1500 cells, status=SUCCESS, 2337.2s
911/1500 cells, status=SUCCESS, 2342.7s
912/1500 cells, status=SUCCESS, 2349.0s
913/1500 cells, status=SUCCESS, 2355.3s
914/1500 cells, status=SUCCESS, 2360.9s
915/1500 cells, status=SUCCESS, 2370.0s
916/1500 cells, status=SUCCESS, 2375.5s
917/1500 cells, status=SUCCESS, 2382.0s
918/1500 cells, status=SUCCESS, 2388.0s
919/1500 cells, status=SUCCESS, 2394.0s
920/1500 cells, status=SUCCESS, 2400.1s
921/1500 cells, status=SUCCESS, 2408.8s
922/1500 cells, status=SUCCESS, 2415.2s
923/1500 cells, status=SUCCESS, 2421.3s
924/1500 cells, status=SUCCESS, 2427.1s
925/1500 cells, status=SUCCESS, 2433.2s
926/1500 cells, status=SUCCESS, 2441.5s
927/1500 cells, status=SUCCESS, 2447.6s
928/1500 cells, status=SUCCESS, 2453.5s
929/1500 cells, status=SUCCESS, 2459.2s
930/1500 cells, status=SUCCESS, 2465.4s
931/1500 cells, status=SUCCESS, 2470.8s
932/1500 cells, status=SUCCESS, 2479.8s
933/1500 cells, status=SUCCESS, 2486.0s
934/1500 cells, status=SUCCESS, 2491.7s
935/1500 cells, status=SUCCESS, 2497.7s
936/1500 cells, status=SUCCESS, 2503.1s
937/1500 cells, status=SUCCESS, 2512.2s
938/1500 cells, status=SUCCESS, 2518.4s
939/1500 cells, status=SUCCESS, 2524.1s
940/1500 cells, status=SUCCESS, 2530.3s
941/1500 cells, status=SUCCESS, 2535.7s
942/1500 cells, status=SUCCESS, 2541.8s
943/1500 cells, status=SUCCESS, 2551.0s
944/1500 cells, status=SUCCESS, 2556.7s
945/1500 cells, status=SUCCESS, 2562.8s
946/1500 cells, status=SUCCESS, 2568.2s
947/1500 cells, status=SUCCESS, 2574.1s
948/1500 cells, status=SUCCESS, 2582.9s
949/1500 cells, status=SUCCESS, 2588.7s
950/1500 cells, status=SUCCESS, 2594.9s
951/1500 cells, status=SUCCESS, 2600.3s
952/1500 cells, status=SUCCESS, 2606.8s
953/1500 cells, status=SUCCESS, 2612.8s
954/1500 cells, status=SUCCESS, 2621.5s
955/1500 cells, status=SUCCESS, 2627.7s
956/1500 cells, status=SUCCESS, 2633.1s
957/1500 cells, status=SUCCESS, 2639.5s
958/1500 cells, status=SUCCESS, 2645.7s
959/1500 cells, status=SUCCESS, 2654.4s
960/1500 cells, status=SUCCESS, 2660.4s
961/1500 cells, status=SUCCESS, 2665.8s
962/1500 cells, status=SUCCESS, 2671.8s
963/1500 cells, status=SUCCESS, 2678.1s
964/1500 cells, status=SUCCESS, 2684.0s
965/1500 cells, status=SUCCESS, 2692.9s
966/1500 cells, status=SUCCESS, 2698.3s
967/1500 cells, status=SUCCESS, 2704.7s
968/1500 cells, status=SUCCESS, 2710.9s
969/1500 cells, status=SUCCESS, 2716.7s
970/1500 cells, status=SUCCESS, 2725.5s
971/1500 cells, status=SUCCESS, 2730.7s
972/1500 cells, status=SUCCESS, 2737.0s
973/1500 cells, status=SUCCESS, 2743.1s
974/1500 cells, status=SUCCESS, 2748.9s
975/1500 cells, status=SUCCESS, 2754.8s
976/1500 cells, status=SUCCESS, 2762.6s
977/1500 cells, status=SUCCESS, 2767.5s
978/1500 cells, status=SUCCESS, 2772.0s
979/1500 cells, status=SUCCESS, 2776.5s
980/1500 cells, status=SUCCESS, 2780.8s
981/1500 cells, status=SUCCESS, 2785.7s
982/1500 cells, status=SUCCESS, 2790.3s
983/1500 cells, status=SUCCESS, 2797.8s
984/1500 cells, status=SUCCESS, 2802.3s
985/1500 cells, status=SUCCESS, 2806.6s
986/1500 cells, status=SUCCESS, 2811.3s
987/1500 cells, status=SUCCESS, 2815.7s
988/1500 cells, status=SUCCESS, 2820.2s
989/1500 cells, status=SUCCESS, 2824.7s
990/1500 cells, status=SUCCESS, 2832.0s
991/1500 cells, status=SUCCESS, 2836.7s
992/1500 cells, status=SUCCESS, 2841.3s
993/1500 cells, status=SUCCESS, 2845.9s
994/1500 cells, status=SUCCESS, 2850.5s
995/1500 cells, status=SUCCESS, 2854.9s
996/1500 cells, status=SUCCESS, 2859.8s
997/1500 cells, status=SUCCESS, 2867.3s
998/1500 cells, status=SUCCESS, 2872.0s
999/1500 cells, status=SUCCESS, 2876.6s
1000/1500 cells, status=SUCCESS, 2881.0s
1001/1500 cells, status=SUCCESS, 2885.5s
1002/1500 cells, status=SUCCESS, 2890.4s
1003/1500 cells, status=SUCCESS, 2895.0s
1004/1500 cells, status=SUCCESS, 2902.5s
1005/1500 cells, status=SUCCESS, 2906.9s
1006/1500 cells, status=SUCCESS, 2911.8s
1007/1500 cells, status=SUCCESS, 2916.4s
1008/1500 cells, status=SUCCESS, 2921.0s
1009/1500 cells, status=SUCCESS, 2925.6s
1010/1500 cells, status=SUCCESS, 2930.1s
1011/1500 cells, status=SUCCESS, 2937.7s
1012/1500 cells, status=SUCCESS, 2942.6s
1013/1500 cells, status=SUCCESS, 2947.2s
1014/1500 cells, status=SUCCESS, 2951.8s
1015/1500 cells, status=SUCCESS, 2956.2s
1016/1500 cells, status=SUCCESS, 2960.8s
1017/1500 cells, status=SUCCESS, 2965.4s
1018/1500 cells, status=SUCCESS, 2972.9s
1019/1500 cells, status=SUCCESS, 2977.5s
1020/1500 cells, status=SUCCESS, 2981.9s
1021/1500 cells, status=SUCCESS, 2986.5s
1022/1500 cells, status=SUCCESS, 2991.2s
1023/1500 cells, status=SUCCESS, 2995.7s
1024/1500 cells, status=SUCCESS, 3000.3s
1025/1500 cells, status=SUCCESS, 3007.6s
1026/1500 cells, status=SUCCESS, 3012.4s
1027/1500 cells, status=SUCCESS, 3017.3s
1028/1500 cells, status=SUCCESS, 3021.9s
1029/1500 cells, status=SUCCESS, 3026.6s
1030/1500 cells, status=SUCCESS, 3031.0s
1031/1500 cells, status=SUCCESS, 3035.6s
1032/1500 cells, status=SUCCESS, 3043.5s
1033/1500 cells, status=SUCCESS, 3048.1s
1034/1500 cells, status=SUCCESS, 3053.0s
1035/1500 cells, status=SUCCESS, 3057.8s
1036/1500 cells, status=SUCCESS, 3062.5s
1037/1500 cells, status=SUCCESS, 3067.3s
1038/1500 cells, status=SUCCESS, 3071.9s
1039/1500 cells, status=SUCCESS, 3079.8s
1040/1500 cells, status=SUCCESS, 3084.7s
1041/1500 cells, status=SUCCESS, 3089.2s
1042/1500 cells, status=SUCCESS, 3094.3s
1043/1500 cells, status=SUCCESS, 3098.9s
1044/1500 cells, status=SUCCESS, 3103.9s
1045/1500 cells, status=SUCCESS, 3108.7s
1046/1500 cells, status=SUCCESS, 3116.2s
1047/1500 cells, status=SUCCESS, 3121.3s
1048/1500 cells, status=SUCCESS, 3125.8s
1049/1500 cells, status=SUCCESS, 3130.6s
1050/1500 cells, status=SUCCESS, 3135.3s
1051/1500 cells, status=SUCCESS, 3140.4s
1052/1500 cells, status=SUCCESS, 3149.0s
1053/1500 cells, status=SUCCESS, 3154.0s
1054/1500 cells, status=SUCCESS, 3158.8s
1055/1500 cells, status=SUCCESS, 3164.2s
1056/1500 cells, status=SUCCESS, 3169.2s
1057/1500 cells, status=SUCCESS, 3173.9s
1058/1500 cells, status=SUCCESS, 3178.8s
1059/1500 cells, status=SUCCESS, 3186.7s
1060/1500 cells, status=SUCCESS, 3192.0s
1061/1500 cells, status=SUCCESS, 3196.8s
1062/1500 cells, status=SUCCESS, 3201.4s
1063/1500 cells, status=SUCCESS, 3206.2s
1064/1500 cells, status=SUCCESS, 3211.1s
1065/1500 cells, status=SUCCESS, 3219.4s
1066/1500 cells, status=SUCCESS, 3224.3s
1067/1500 cells, status=SUCCESS, 3229.1s
1068/1500 cells, status=SUCCESS, 3234.2s
1069/1500 cells, status=SUCCESS, 3239.3s
1070/1500 cells, status=SUCCESS, 3244.6s
1071/1500 cells, status=SUCCESS, 3249.5s
1072/1500 cells, status=SUCCESS, 3257.1s
1073/1500 cells, status=SUCCESS, 3262.2s
1074/1500 cells, status=SUCCESS, 3267.2s
1075/1500 cells, status=SUCCESS, 3272.7s
1076/1500 cells, status=SUCCESS, 3278.0s
1077/1500 cells, status=SUCCESS, 3283.4s
1078/1500 cells, status=SUCCESS, 3291.8s
1079/1500 cells, status=SUCCESS, 3296.9s
1080/1500 cells, status=SUCCESS, 3302.3s
1081/1500 cells, status=SUCCESS, 3307.3s
1082/1500 cells, status=SUCCESS, 3312.1s
1083/1500 cells, status=SUCCESS, 3317.1s
1084/1500 cells, status=SUCCESS, 3321.8s
1085/1500 cells, status=SUCCESS, 3330.1s
1086/1500 cells, status=SUCCESS, 3335.1s
1087/1500 cells, status=SUCCESS, 3340.0s
1088/1500 cells, status=SUCCESS, 3345.0s
1089/1500 cells, status=SUCCESS, 3349.8s
1090/1500 cells, status=SUCCESS, 3355.3s
1091/1500 cells, status=SUCCESS, 3363.4s
1092/1500 cells, status=SUCCESS, 3368.3s
1093/1500 cells, status=SUCCESS, 3373.3s
1094/1500 cells, status=SUCCESS, 3378.3s
1095/1500 cells, status=SUCCESS, 3383.8s
1096/1500 cells, status=SUCCESS, 3388.8s
1097/1500 cells, status=SUCCESS, 3396.6s
1098/1500 cells, status=SUCCESS, 3401.8s
1099/1500 cells, status=SUCCESS, 3407.0s
1100/1500 cells, status=SUCCESS, 3412.4s
1101/1500 cells, status=SUCCESS, 3417.4s
1102/1500 cells, status=SUCCESS, 3422.1s
1103/1500 cells, status=SUCCESS, 3427.0s
1104/1500 cells, status=SUCCESS, 3434.6s
1105/1500 cells, status=SUCCESS, 3439.2s
1106/1500 cells, status=SUCCESS, 3444.3s
1107/1500 cells, status=SUCCESS, 3448.9s
1108/1500 cells, status=SUCCESS, 3453.5s
1109/1500 cells, status=SUCCESS, 3458.2s
1110/1500 cells, status=SUCCESS, 3463.1s
1111/1500 cells, status=SUCCESS, 3470.9s
1112/1500 cells, status=SUCCESS, 3475.5s
1113/1500 cells, status=SUCCESS, 3480.1s
1114/1500 cells, status=SUCCESS, 3484.8s
1115/1500 cells, status=SUCCESS, 3489.8s
1116/1500 cells, status=SUCCESS, 3495.0s
1117/1500 cells, status=SUCCESS, 3502.6s
1118/1500 cells, status=SUCCESS, 3507.3s
1119/1500 cells, status=SUCCESS, 3512.7s
1120/1500 cells, status=SUCCESS, 3517.6s
1121/1500 cells, status=SUCCESS, 3522.6s
1122/1500 cells, status=SUCCESS, 3527.3s
1123/1500 cells, status=SUCCESS, 3532.0s
1124/1500 cells, status=SUCCESS, 3539.6s
1125/1500 cells, status=SUCCESS, 3544.8s
1126/1500 cells, status=SUCCESS, 3551.4s
1127/1500 cells, status=SUCCESS, 3555.9s
1128/1500 cells, status=SUCCESS, 3562.4s
1129/1500 cells, status=SUCCESS, 3567.4s
1130/1500 cells, status=SUCCESS, 3575.2s
1131/1500 cells, status=SUCCESS, 3582.7s
1132/1500 cells, status=SUCCESS, 3587.1s
1133/1500 cells, status=SUCCESS, 3593.7s
1134/1500 cells, status=SUCCESS, 3597.9s
1135/1500 cells, status=SUCCESS, 3602.8s
1136/1500 cells, status=SUCCESS, 3612.5s
1137/1500 cells, status=SUCCESS, 3617.0s
1138/1500 cells, status=SUCCESS, 3623.7s
1139/1500 cells, status=SUCCESS, 3628.1s
1140/1500 cells, status=SUCCESS, 3633.1s
1141/1500 cells, status=SUCCESS, 3640.5s
1142/1500 cells, status=SUCCESS, 3647.9s
1143/1500 cells, status=SUCCESS, 3654.7s
1144/1500 cells, status=SUCCESS, 3659.9s
1145/1500 cells, status=SUCCESS, 3664.9s
1146/1500 cells, status=SUCCESS, 3672.4s
1147/1500 cells, status=SUCCESS, 3676.9s
1148/1500 cells, status=SUCCESS, 3686.7s
1149/1500 cells, status=SUCCESS, 3691.0s
1150/1500 cells, status=SUCCESS, 3695.9s
1151/1500 cells, status=SUCCESS, 3702.6s
1152/1500 cells, status=SUCCESS, 3707.0s
1153/1500 cells, status=SUCCESS, 3716.8s
1154/1500 cells, status=SUCCESS, 3722.1s
1155/1500 cells, status=SUCCESS, 3727.1s
1156/1500 cells, status=SUCCESS, 3734.5s
1157/1500 cells, status=SUCCESS, 3738.9s
1158/1500 cells, status=SUCCESS, 3744.3s
1159/1500 cells, status=SUCCESS, 3751.6s
1160/1500 cells, status=SUCCESS, 3756.5s
1161/1500 cells, status=SUCCESS, 3762.6s
1162/1500 cells, status=SUCCESS, 3767.1s
1163/1500 cells, status=SUCCESS, 3772.5s
1164/1500 cells, status=SUCCESS, 3776.8s
1165/1500 cells, status=SUCCESS, 3781.8s
1166/1500 cells, status=SUCCESS, 3790.8s
1167/1500 cells, status=SUCCESS, 3795.3s
1168/1500 cells, status=SUCCESS, 3801.9s
1169/1500 cells, status=SUCCESS, 3806.1s
1170/1500 cells, status=SUCCESS, 3810.9s
1171/1500 cells, status=SUCCESS, 3817.5s
1172/1500 cells, status=SUCCESS, 3824.7s
1173/1500 cells, status=SUCCESS, 3831.3s
1174/1500 cells, status=SUCCESS, 3835.4s
1175/1500 cells, status=SUCCESS, 3840.2s
1176/1500 cells, status=SUCCESS, 3847.5s
