metric,mean,ci_lo,ci_hi,p_gt_zero,n_keys,n_tasks,task_sd,policy,contract,budget_bp
delta_directional_repair,0.0892372780914579,0.07363641523616676,0.10419145743653058,1.0,5500,20,0.03518373443944735,P5,semantic_group,2000
delta_same_side_residual,-0.0892372780914579,-0.10409844831193898,-0.07375408577076352,0.0,5500,20,0.03518373443944735,P5,semantic_group,2000
delta_overcorrection,0.06952036375970047,0.04322975162800658,0.09929706543343883,1.0,5500,20,0.06490337567242443,P5,semantic_group,2000
delta_introduced_distortion,0.0004827513822732017,0.00022637213976685203,0.0008001821336273577,1.0,5500,20,0.0006781690875008461,P5,semantic_group,2000
delta_introduced_distortion_zero_opp,0.08446711600764846,0.051073325349819246,0.12158095751808728,1.0,30,14,0.07136664527881553,P5,semantic_group,2000
delta_leak_recall,0.5107454545454544,0.4924788636363636,0.527136818181818,1.0,5500,20,0.04130304305751844,P5,semantic_group,2000
delta_deletion_precision,0.217301963793782,0.20572493663911845,0.2279822946674538,1.0,5500,20,0.026775943671639744,P5,semantic_group,2000
delta_legit_retention,0.02968718426181662,0.026940147330977854,0.03265460873856537,1.0,5500,20,0.006663507903296217,P5,semantic_group,2000
delta_semantic_group_recall_full,0.5107454545454544,0.491316818181818,0.5274199999999999,1.0,5500,20,0.04130304305751844,P5,semantic_group,2000
delta_semantic_group_recall_any,0.5107454545454544,0.4917179545454547,0.5274818181818182,1.0,5500,20,0.04130304305751844,P5,semantic_group,2000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P5,semantic_group,2000
delta_legacy_sdr,0.05458764207062098,0.04057548161381237,0.06804740126674312,1.0,5500,20,0.03236102845380542,P6,encoded_column,500
delta_directional_repair,0.06346995357426147,0.05319291390911238,0.07296492731246487,1.0,5500,20,0.022942614340070604,P6,encoded_column,500
delta_same_side_residual,-0.06346995357426147,-0.07294494244686738,-0.05370049782304961,0.0,5500,20,0.022942614340070604,P6,encoded_column,500
delta_overcorrection,0.00866012453975995,0.004458470196793406,0.013329347615591496,1.0,5500,20,0.0106957600355657,P6,encoded_column,500
delta_introduced_distortion,0.0002221869638805272,8.047838348981119e-05,0.00039116991624740257,1.0,5500,20,0.0003679299090783457,P6,encoded_column,500
delta_introduced_distortion_zero_opp,0.042226193320197995,0.019041897509158457,0.0681763990281049,1.0,30,14,0.050953638151796654,P6,encoded_column,500
delta_leak_recall,0.38852196969696967,0.36101165719696965,0.4143773011363636,1.0,5500,20,0.06265977532625677,P6,encoded_column,500
delta_deletion_precision,0.5148999999999999,0.4841589772727273,0.5438914772727272,1.0,5500,20,0.06943280992095108,P6,encoded_column,500
delta_legit_retention,0.030925255484711374,0.02824022799100409,0.03386759183598267,1.0,5500,20,0.006570964380265234,P6,encoded_column,500
delta_semantic_group_recall_full,0.3443,0.3184356818181819,0.3688286363636364,1.0,5500,20,0.059416483287875514,P6,encoded_column,500
delta_semantic_group_recall_any,0.5105454545454545,0.48065204545454554,0.5378729545454546,1.0,5500,20,0.06754335839413003,P6,encoded_column,500
delta_partial_group_violation_rate,0.16624545454545453,0.16024522727272725,0.17195499999999997,1.0,5500,20,0.014092748760909051,P6,encoded_column,500
delta_legacy_sdr,0.04793602942650409,0.02106958107772075,0.07004381152928876,0.9998,5500,20,0.057017111723026356,P6,encoded_column,1000
delta_directional_repair,0.07203470865288628,0.058844243910162186,0.08397954758622414,1.0,5500,20,0.02945615314901207,P6,encoded_column,1000
delta_same_side_residual,-0.07203470865288628,-0.0843199113104213,-0.05899068902194337,0.0,5500,20,0.029456153149012065,P6,encoded_column,1000
delta_overcorrection,0.023817729590314658,0.012349861912973034,0.03890524333774316,1.0,5500,20,0.03181333671422809,P6,encoded_column,1000
delta_introduced_distortion,0.0002809496360675342,0.00011013624290800829,0.0004967473364500142,1.0,5500,20,0.0004636446180017129,P6,encoded_column,1000
delta_introduced_distortion_zero_opp,0.05441419697648253,0.022492132886152767,0.09207117496554341,1.0,30,14,0.06939738413467818,P6,encoded_column,1000
delta_leak_recall,0.4751678030303029,0.43947725378787883,0.5084134659090909,1.0,5500,20,0.08083800306368948,P6,encoded_column,1000
delta_deletion_precision,0.37613787878787874,0.34429821969696967,0.41230340909090907,1.0,5500,20,0.07832872063085,P6,encoded_column,1000
delta_legit_retention,0.04302013607470959,0.04052256264397366,0.04580573850548959,1.0,5500,20,0.006140415583087785,P6,encoded_column,1000
delta_semantic_group_recall_full,0.4161,0.3811172727272727,0.44921840909090904,1.0,5500,20,0.07891959613003309,P6,encoded_column,1000
delta_semantic_group_recall_any,0.5160272727272727,0.48478931818181825,0.5464822727272727,1.0,5500,20,0.07145836275521224,P6,encoded_column,1000
delta_partial_group_violation_rate,0.09992727272727273,0.09467249999999999,0.10530022727272725,1.0,5500,20,0.012517116597542958,P6,encoded_column,1000
delta_legacy_sdr,0.02755390248889013,-0.008875108276195323,0.060981903429212135,0.9358,5500,20,0.08191723731268569,P6,encoded_column,2000
delta_directional_repair,0.07749764478475571,0.06318518164401185,0.09068157359209567,1.0,5500,20,0.03318472510634408,P6,encoded_column,2000
delta_same_side_residual,-0.07749764478475571,-0.09086998992958194,-0.0631898903342713,0.0,5500,20,0.03318472510634408,P6,encoded_column,2000
delta_overcorrection,0.04954732875714357,0.02932390557465266,0.07292538440651983,1.0,5500,20,0.051253441592639,P6,encoded_column,2000
delta_introduced_distortion,0.00039641353872201847,0.00016049158171772707,0.0006947388435647029,1.0,5500,20,0.0006328033952068073,P6,encoded_column,2000
delta_introduced_distortion_zero_opp,0.07057735868932125,0.0395501211801447,0.108663299795136,1.0,30,14,0.06961210014083119,P6,encoded_column,2000
delta_leak_recall,0.49111363636363636,0.4715880871212121,0.5092967045454545,1.0,5500,20,0.043358455357723306,P6,encoded_column,2000
delta_deletion_precision,0.21666363636363636,0.20516040909090907,0.2278095492424242,1.0,5500,20,0.026448224031945147,P6,encoded_column,2000
delta_legit_retention,0.05271404225676285,0.04870578646390374,0.05684728316560891,1.0,5500,20,0.009500162116728054,P6,encoded_column,2000
delta_semantic_group_recall_full,0.44000909090909096,0.4210815909090909,0.4568552272727273,1.0,5500,20,0.04282602758298388,P6,encoded_column,2000
delta_semantic_group_recall_any,0.4479636363636364,0.4314997727272727,0.4630822727272728,1.0,5500,20,0.0371430162178909,P6,encoded_column,2000
delta_partial_group_violation_rate,0.007954545454545454,0.0029454545454545454,0.01320045454545454,0.9996,5500,20,0.01201939493982302,P6,encoded_column,2000
delta_legacy_sdr,0.10764464774223573,0.08855880692778482,0.12536209735704226,1.0,5500,20,0.042365193788003644,P6,semantic_group,500
delta_directional_repair,0.1164563958972867,0.10237047034566124,0.13036616981321644,1.0,5500,20,0.03349027647788734,P6,semantic_group,500
delta_same_side_residual,-0.1164563958972867,-0.13018447935638097,-0.10164590076455585,0.0,5500,20,0.03349027647788734,P6,semantic_group,500
delta_overcorrection,0.008595996610524919,0.004326593475382518,0.013254058241748244,1.0,5500,20,0.010582112875468595,P6,semantic_group,500
delta_introduced_distortion,0.00021575154452603543,7.780551170439169e-05,0.0003751004039281776,1.0,5500,20,0.0003541639461576669,P6,semantic_group,500
delta_introduced_distortion_zero_opp,0.04095653138433215,0.01745111649349489,0.06795727813459772,1.0,30,14,0.04999244760756102,P6,semantic_group,500
delta_leak_recall,0.5671454545454544,0.5380900000000001,0.5949272727272727,1.0,5500,20,0.06586112691320664,P6,semantic_group,500
delta_deletion_precision,0.5671454545454544,0.5382629545454546,0.5942818181818181,1.0,5500,20,0.06586112691320664,P6,semantic_group,500
delta_legit_retention,0.03313589103053809,0.02952972379556717,0.036981898942479094,1.0,5500,20,0.008776196201151405,P6,semantic_group,500
delta_semantic_group_recall_full,0.5671454545454544,0.5387527272727273,0.5939556818181817,1.0,5500,20,0.06586112691320664,P6,semantic_group,500
delta_semantic_group_recall_any,0.5671454545454544,0.5374622727272729,0.5950004545454545,1.0,5500,20,0.06586112691320664,P6,semantic_group,500
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P6,semantic_group,500
delta_legacy_sdr,0.07589410417697631,0.04252789144056851,0.10290421660873121,0.9998,5500,20,0.07161850903839372,P6,semantic_group,1000
delta_directional_repair,0.10613884185815366,0.0898555345983044,0.12058802947050508,1.0,5500,20,0.035974549504016844,P6,semantic_group,1000
delta_same_side_residual,-0.10613884185815366,-0.12096238287552898,-0.0899685878656182,0.0,5500,20,0.035974549504016844,P6,semantic_group,1000
delta_overcorrection,0.02997327394489755,0.015285305557793354,0.05016681074535691,1.0,5500,20,0.0407323820841815,P6,semantic_group,1000
delta_introduced_distortion,0.00027146373627980183,9.317298044704311e-05,0.0004846438839749905,0.9998,5500,20,0.00045251276982524535,P6,semantic_group,1000
delta_introduced_distortion_zero_opp,0.05311292030707082,0.021411916712445984,0.09009508097868431,1.0,30,14,0.06859800130215507,P6,semantic_group,1000
delta_leak_recall,0.6087818181818183,0.5775818181818182,0.6380186363636363,1.0,5500,20,0.07167871140409504,P6,semantic_group,1000
delta_deletion_precision,0.40126192640692643,0.36123688095238093,0.44530417316017307,1.0,5500,20,0.09843729843849588,P6,semantic_group,1000
delta_legit_retention,0.035180715803804025,0.032002557176402005,0.03851186280349552,1.0,5500,20,0.007635745341141305,P6,semantic_group,1000
delta_semantic_group_recall_full,0.6087818181818183,0.5786631818181819,0.6379640909090908,1.0,5500,20,0.07167871140409504,P6,semantic_group,1000
delta_semantic_group_recall_any,0.6087818181818183,0.5777165909090909,0.6379647727272727,1.0,5500,20,0.07167871140409504,P6,semantic_group,1000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P6,semantic_group,1000
delta_legacy_sdr,0.03161992343620608,-0.008738887937068899,0.0679396661914992,0.939,5500,20,0.09126919421312762,P6,semantic_group,2000
delta_directional_repair,0.09090909581113352,0.0749874254837993,0.10598642025484405,1.0,5500,20,0.03544636342826663,P6,semantic_group,2000
delta_same_side_residual,-0.09090909581113352,-0.10569719413534544,-0.07526812423198738,0.0,5500,20,0.03544636342826663,P6,semantic_group,2000
delta_overcorrection,0.05887515224770619,0.036324095017125115,0.08553483644820738,1.0,5500,20,0.05840720199694873,P6,semantic_group,2000
delta_introduced_distortion,0.0004140201272212475,0.00016539421823038054,0.0007242820132552873,1.0,5500,20,0.0006653498799245739,P6,semantic_group,2000
delta_introduced_distortion_zero_opp,0.07467205935501045,0.03982384084150053,0.1151479981374573,1.0,30,14,0.07560257976834177,P6,semantic_group,2000
delta_leak_recall,0.5832909090909091,0.565645,0.6000090909090908,1.0,5500,20,0.04047722712359983,P6,semantic_group,2000
delta_deletion_precision,0.23659535222353406,0.22364011776859508,0.24885890481109796,1.0,5500,20,0.03022778863634509,P6,semantic_group,2000
delta_legit_retention,0.03401445698908936,0.030740038426769308,0.037495469254275146,1.0,5500,20,0.007911144428875557,P6,semantic_group,2000
delta_semantic_group_recall_full,0.5832909090909091,0.5654631818181819,0.6001554545454546,1.0,5500,20,0.04047722712359983,P6,semantic_group,2000
delta_semantic_group_recall_any,0.5832909090909091,0.5651725000000001,0.5994004545454544,1.0,5500,20,0.04047722712359983,P6,semantic_group,2000
delta_partial_group_violation_rate,0.0,0.0,0.0,0.0,5500,20,0.0,P6,semantic_group,2000
