dataset_index,mechanism,strength,seed,PSI
17,M05,S4,7777,0.068303
17,M05,S5,13,0.219564
17,M05,S5,42,0.199907
17,M05,S5,2026,0.251771
17,M05,S5,3407,0.269807
17,M05,S5,7777,0.128886
18,M04,S1,13,0.029929
18,M04,S1,42,0.010278
18,M04,S1,2026,0.060399
18,M04,S1,3407,0.060431
18,M04,S1,7777,0.041917
18,M04,S2,13,0.083911
18,M04,S2,42,0.066477
18,M04,S2,2026,0.095929
18,M04,S2,3407,0.121179
18,M04,S2,7777,0.085923
18,M04,S3,13,0.164303
18,M04,S3,42,0.120979
18,M04,S3,2026,0.154739
18,M04,S3,3407,0.179268
18,M04,S3,7777,0.154836
18,M04,S4,13,0.217254
18,M04,S4,42,0.209967
18,M04,S4,2026,0.255705
18,M04,S4,3407,0.26424
18,M04,S4,7777,0.243672
18,M04,S5,13,0.317121
18,M04,S5,42,0.27419
18,M04,S5,2026,0.391542
18,M04,S5,3407,0.392205
18,M04,S5,7777,0.415025
18,M05,S1,13,0.027531
18,M05,S1,42,0.0301
18,M05,S1,2026,0.057509
18,M05,S1,3407,0.037137
18,M05,S1,7777,0.020192
18,M05,S2,13,0.070997
18,M05,S2,42,0.019866
18,M05,S2,2026,0.073836
18,M05,S2,3407,0.028905
18,M05,S2,7777,0.050566
18,M05,S3,13,0.097807
18,M05,S3,42,0.071543
18,M05,S3,2026,0.083862
18,M05,S3,3407,0.09541
18,M05,S3,7777,0.059865
18,M05,S4,13,0.132695
18,M05,S4,42,0.129238
18,M05,S4,2026,0.152854
18,M05,S4,3407,0.195127
18,M05,S4,7777,0.11975
18,M05,S5,13,0.227245
18,M05,S5,42,0.235121
18,M05,S5,2026,0.203879
18,M05,S5,3407,0.26507
18,M05,S5,7777,0.135687
19,M04,S1,13,0.025521
19,M04,S1,42,0.021232
19,M04,S1,2026,0.057339
19,M04,S1,3407,0.041118
19,M04,S1,7777,0.018341
19,M04,S2,13,0.052474
19,M04,S2,42,0.035581
19,M04,S2,2026,0.048633
19,M04,S2,3407,0.062543
19,M04,S2,7777,0.02712
19,M04,S3,13,0.065255
19,M04,S3,42,0.043085
19,M04,S3,2026,0.081933
19,M04,S3,3407,0.086724
19,M04,S3,7777,0.036215
19,M04,S4,13,0.116327
19,M04,S4,42,0.073554
19,M04,S4,2026,0.084479
19,M04,S4,3407,0.186968
19,M04,S4,7777,0.042591
19,M04,S5,13,0.181637
19,M04,S5,42,0.118185
19,M04,S5,2026,0.152256
19,M04,S5,3407,0.295251
19,M04,S5,7777,0.092837
19,M05,S1,13,0.047266
19,M05,S1,42,0.03515
19,M05,S1,2026,0.033816
19,M05,S1,3407,0.063415
19,M05,S1,7777,0.022409
19,M05,S2,13,0.0653
19,M05,S2,42,0.059094
19,M05,S2,2026,0.075201
19,M05,S2,3407,0.068234
19,M05,S2,7777,0.003667
19,M05,S3,13,0.093245
19,M05,S3,42,0.093962
19,M05,S3,2026,0.101921
19,M05,S3,3407,0.126826
19,M05,S3,7777,0.035033
19,M05,S4,13,0.179138
19,M05,S4,42,0.172029
19,M05,S4,2026,0.165861
19,M05,S4,3407,0.160537
19,M05,S4,7777,0.104374
19,M05,S5,13,0.225466
19,M05,S5,42,0.262604
19,M05,S5,2026,0.249008
19,M05,S5,3407,0.288158
19,M05,S5,7777,0.173714
