legacy_sdr,directional_repair,same_side_residual,overcorrection,leak_recall,deletion_precision,legit_retention,directional_repair_fraction,introduced_distortion,n_keys,mechanism,mechanism_family,learner
"{'mean': 0.096467, 'ci_lo': 0.053665, 'ci_hi': 0.134975, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.120741, 'min_task': -0.099872, 'max_task': 0.268153}","{'mean': 0.16514, 'ci_lo': 0.149571, 'ci_hi': 0.181789, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.167763, 'min_task': 0.101789, 'max_task': 0.267776}","{'mean': -0.16514, 'ci_lo': -0.181789, 'ci_hi': -0.149571, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.167763, 'min_task': -0.267776, 'max_task': -0.101789}","{'mean': 0.068673, 'ci_lo': 0.036795, 'ci_hi': 0.104036, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.045705, 'min_task': -0.009831, 'max_task': 0.237573}","{'mean': 0.7655, 'ci_lo': 0.742, 'ci_hi': 0.787, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.765, 'min_task': 0.63, 'max_task': 0.84}","{'mean': 0.212633, 'ci_lo': 0.194441, 'ci_hi': 0.230525, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.20875, 'min_task': 0.148, 'max_task': 0.28}","{'mean': 0.045135, 'ci_lo': 0.040404, 'ci_hi': 0.050063, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.041, 'min_task': 0.030833, 'max_task': 0.063333}","{'mean': 0.673278, 'ci_lo': 0.588366, 'ci_hi': 0.736718, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.733455, 'min_task': 0.110528, 'max_task': 0.807939}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M02,simple,LightGBM
"{'mean': -0.021848, 'ci_lo': -0.055348, 'ci_hi': 0.014349, 'P3_better_frac': 0.1113, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -0.031605, 'min_task': -0.141862, 'max_task': 0.136232}","{'mean': 0.025873, 'ci_lo': -0.029599, 'ci_hi': 0.083539, 'P3_better_frac': 0.8108, 'n_tasks': 20, 'positive_task_frac': 0.45, 'median_task': -0.024751, 'min_task': -0.14857, 'max_task': 0.214213}","{'mean': -0.025873, 'ci_lo': -0.083539, 'ci_hi': 0.029599, 'P3_better_frac': 0.1892, 'n_tasks': 20, 'positive_task_frac': 0.55, 'median_task': 0.024751, 'min_task': -0.214213, 'max_task': 0.14857}","{'mean': 0.047721, 'ci_lo': 0.016772, 'ci_hi': 0.082583, 'P3_better_frac': 0.9994, 'n_tasks': 20, 'positive_task_frac': 0.5, 'median_task': -3.9e-05, 'min_task': -0.034334, 'max_task': 0.203936}","{'mean': -0.1105, 'ci_lo': -0.162, 'ci_hi': -0.053, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.145, 'min_task': -0.27, 'max_task': 0.22}","{'mean': -0.033333, 'ci_lo': -0.050275, 'ci_hi': -0.01495, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.038, 'min_task': -0.09, 'max_task': 0.073333}","{'mean': -0.007073, 'ci_lo': -0.01101, 'ci_hi': -0.002854, 'P3_better_frac': 0.0008, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': -0.0075, 'min_task': -0.0225, 'max_task': 0.018333}","{'mean': 0.114051, 'ci_lo': -0.077681, 'ci_hi': 0.312831, 'P3_better_frac': 0.8723, 'n_tasks': 20, 'positive_task_frac': 0.45, 'median_task': -0.06625, 'min_task': -0.461389, 'max_task': 0.699757}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M03,simple,LightGBM
"{'mean': -0.048525, 'ci_lo': -0.08024, 'ci_hi': -0.020174, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.3, 'median_task': -0.039237, 'min_task': -0.1886, 'max_task': 0.052197}","{'mean': -0.021126, 'ci_lo': -0.041579, 'ci_hi': -0.005346, 'P3_better_frac': 0.0024, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -0.01359, 'min_task': -0.171646, 'max_task': 0.044461}","{'mean': 0.021126, 'ci_lo': 0.005346, 'ci_hi': 0.041579, 'P3_better_frac': 0.9976, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.01359, 'min_task': -0.044461, 'max_task': 0.171646}","{'mean': 0.02732, 'ci_lo': 0.009064, 'ci_hi': 0.048927, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.65, 'median_task': 0.005873, 'min_task': -0.007737, 'max_task': 0.154895}","{'mean': -0.0925, 'ci_lo': -0.119, 'ci_hi': -0.067488, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.09, 'min_task': -0.25, 'max_task': 0.03}","{'mean': -0.026867, 'ci_lo': -0.035808, 'ci_hi': -0.018742, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.022917, 'min_task': -0.083333, 'max_task': 0.006}","{'mean': -0.005673, 'ci_lo': -0.007537, 'ci_hi': -0.003962, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.05, 'median_task': -0.005208, 'min_task': -0.015625, 'max_task': 0.00125}","{'mean': -5.90673, 'ci_lo': -10.202544, 'ci_hi': -2.433953, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -3.798584, 'min_task': -35.56672, 'max_task': 4.383411}","{'mean': 7.9e-05, 'ci_lo': 0.0, 'ci_hi': 0.000214, 'P3_better_frac': 0.8764, 'n_tasks': 20, 'positive_task_frac': 0.1, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.001104}",500,M04,structured,LightGBM
"{'mean': -0.048579, 'ci_lo': -0.080459, 'ci_hi': -0.019783, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -0.042402, 'min_task': -0.192014, 'max_task': 0.053015}","{'mean': -0.020825, 'ci_lo': -0.040005, 'ci_hi': -0.005199, 'P3_better_frac': 0.0032, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -0.01367, 'min_task': -0.156316, 'max_task': 0.038778}","{'mean': 0.020825, 'ci_lo': 0.005199, 'ci_hi': 0.040005, 'P3_better_frac': 0.9969, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.01367, 'min_task': -0.038778, 'max_task': 0.156316}","{'mean': 0.027753, 'ci_lo': 0.009171, 'ci_hi': 0.049784, 'P3_better_frac': 0.9999, 'n_tasks': 20, 'positive_task_frac': 0.55, 'median_task': 0.004634, 'min_task': -0.014237, 'max_task': 0.155606}","{'mean': -0.0925, 'ci_lo': -0.135, 'ci_hi': -0.043488, 'P3_better_frac': 0.0003, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.105, 'min_task': -0.23, 'max_task': 0.23}","{'mean': -0.0281, 'ci_lo': -0.041425, 'ci_hi': -0.013758, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.030417, 'min_task': -0.076667, 'max_task': 0.0575}","{'mean': -0.00619, 'ci_lo': -0.009171, 'ci_hi': -0.003079, 'P3_better_frac': 0.0001, 'n_tasks': 20, 'positive_task_frac': 0.15, 'median_task': -0.006875, 'min_task': -0.019167, 'max_task': 0.0115}","{'mean': -8.850319, 'ci_lo': -18.357894, 'ci_hi': -2.27446, 'P3_better_frac': 0.0008, 'n_tasks': 20, 'positive_task_frac': 0.2, 'median_task': -4.368942, 'min_task': -81.796788, 'max_task': 10.39452}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M05,structured,LightGBM
"{'mean': 0.120895, 'ci_lo': 0.093313, 'ci_hi': 0.148712, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.112804, 'min_task': 0.010038, 'max_task': 0.242974}","{'mean': 0.155072, 'ci_lo': 0.133652, 'ci_hi': 0.176448, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.150187, 'min_task': 0.070763, 'max_task': 0.241358}","{'mean': -0.155072, 'ci_lo': -0.176448, 'ci_hi': -0.133652, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.150187, 'min_task': -0.241358, 'max_task': -0.070763}","{'mean': 0.034177, 'ci_lo': 0.019173, 'ci_hi': 0.051574, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.023847, 'min_task': -0.001617, 'max_task': 0.14033}","{'mean': 0.678613, 'ci_lo': 0.648854, 'ci_hi': 0.707438, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.691833, 'min_task': 0.575417, 'max_task': 0.768583}","{'mean': 0.548875, 'ci_lo': 0.537302, 'ci_hi': 0.559718, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.555533, 'min_task': 0.502533, 'max_task': 0.5803}","{'mean': 0.14302, 'ci_lo': 0.136662, 'ci_hi': 0.149392, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.142712, 'min_task': 0.121667, 'max_task': 0.164833}","{'mean': 0.547927, 'ci_lo': 0.496131, 'ci_hi': 0.600555, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.54362, 'min_task': 0.371607, 'max_task': 0.728479}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M06,boundary,LightGBM
"{'mean': 0.028728, 'ci_lo': -0.010045, 'ci_hi': 0.0626, 'P3_better_frac': 0.9305, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.049747, 'min_task': -0.153172, 'max_task': 0.1548}","{'mean': 0.092679, 'ci_lo': 0.082731, 'ci_hi': 0.102989, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.091861, 'min_task': 0.049131, 'max_task': 0.154237}","{'mean': -0.092679, 'ci_lo': -0.102989, 'ci_hi': -0.082731, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.091861, 'min_task': -0.154237, 'max_task': -0.049131}","{'mean': 0.062809, 'ci_lo': 0.033306, 'ci_hi': 0.095746, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.039561, 'min_task': -0.01326, 'max_task': 0.218041}","{'mean': 0.6495, 'ci_lo': 0.6135, 'ci_hi': 0.687, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.64, 'min_task': 0.51, 'max_task': 0.83}","{'mean': 0.178967, 'ci_lo': 0.1645, 'ci_hi': 0.193783, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.177083, 'min_task': 0.118, 'max_task': 0.256667}","{'mean': 0.037902, 'ci_lo': 0.034242, 'ci_hi': 0.041688, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.03525, 'min_task': 0.024583, 'max_task': 0.054167}","{'mean': 0.115494, 'ci_lo': -0.746536, 'ci_hi': 0.797828, 'P3_better_frac': 0.6371, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.593702, 'min_task': -5.435991, 'max_task': 2.277438}","{'mean': 0.001143, 'ci_lo': 0.000305, 'ci_hi': 0.002148, 'P3_better_frac': 0.9984, 'n_tasks': 20, 'positive_task_frac': 0.45, 'median_task': 0.0, 'min_task': -0.001544, 'max_task': 0.007539}",500,M07,boundary,LightGBM
"{'mean': -0.046163, 'ci_lo': -0.076432, 'ci_hi': -0.019051, 'P3_better_frac': 0.0002, 'n_tasks': 20, 'positive_task_frac': 0.25, 'median_task': -0.028374, 'min_task': -0.188925, 'max_task': 0.03301}","{'mean': -0.012204, 'ci_lo': -0.030125, 'ci_hi': 0.001582, 'P3_better_frac': 0.0454, 'n_tasks': 20, 'positive_task_frac': 0.5, 'median_task': -0.001409, 'min_task': -0.13951, 'max_task': 0.035726}","{'mean': 0.012204, 'ci_lo': -0.001582, 'ci_hi': 0.030125, 'P3_better_frac': 0.9546, 'n_tasks': 20, 'positive_task_frac': 0.5, 'median_task': 0.001409, 'min_task': -0.035726, 'max_task': 0.13951}","{'mean': 0.033967, 'ci_lo': 0.013072, 'ci_hi': 0.058698, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.8, 'median_task': 0.011432, 'min_task': -0.021756, 'max_task': 0.174752}","{'mean': 0.3375, 'ci_lo': 0.2205, 'ci_hi': 0.4565, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.325, 'min_task': -0.07, 'max_task': 0.83}","{'mean': 0.087867, 'ci_lo': 0.058524, 'ci_hi': 0.117259, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.098333, 'min_task': -0.023333, 'max_task': 0.2075}","{'mean': 0.018402, 'ci_lo': 0.012035, 'ci_hi': 0.024817, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.021875, 'min_task': -0.005833, 'max_task': 0.046667}","{'mean': -1.706391, 'ci_lo': -4.366127, 'ci_hi': 0.751823, 'P3_better_frac': 0.0883, 'n_tasks': 20, 'positive_task_frac': 0.4, 'median_task': -0.643662, 'min_task': -16.877363, 'max_task': 12.244673}","{'mean': -8e-06, 'ci_lo': -2.5e-05, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': -0.000164, 'max_task': 0.0}",500,M08,structured,LightGBM
"{'mean': 0.170616, 'ci_lo': 0.147567, 'ci_hi': 0.191423, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.184634, 'min_task': 0.058055, 'max_task': 0.242186}","{'mean': 0.190502, 'ci_lo': 0.176641, 'ci_hi': 0.20328, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.189893, 'min_task': 0.10907, 'max_task': 0.243768}","{'mean': -0.190502, 'ci_lo': -0.20328, 'ci_hi': -0.176641, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.189893, 'min_task': -0.243768, 'max_task': -0.10907}","{'mean': 0.019886, 'ci_lo': 0.006638, 'ci_hi': 0.036048, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.7, 'median_task': 0.003727, 'min_task': -0.001869, 'max_task': 0.106005}","{'mean': 0.260812, 'ci_lo': 0.2325, 'ci_hi': 0.292312, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.2475, 'min_task': 0.1625, 'max_task': 0.455}","{'mean': 0.397925, 'ci_lo': 0.364575, 'ci_hi': 0.433158, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.386667, 'min_task': 0.248333, 'max_task': 0.606667}","{'mean': 0.119467, 'ci_lo': 0.107385, 'ci_hi': 0.1318, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.120312, 'min_task': 0.062083, 'max_task': 0.182}","{'mean': 0.691622, 'ci_lo': 0.633632, 'ci_hi': 0.74371, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.733304, 'min_task': 0.391983, 'max_task': 0.862299}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M09,structured,LightGBM
"{'mean': 0.114426, 'ci_lo': 0.071704, 'ci_hi': 0.153055, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.85, 'median_task': 0.136797, 'min_task': -0.097968, 'max_task': 0.282711}","{'mean': 0.185023, 'ci_lo': 0.170183, 'ci_hi': 0.200906, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.182557, 'min_task': 0.126468, 'max_task': 0.282639}","{'mean': -0.185023, 'ci_lo': -0.200906, 'ci_hi': -0.170183, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.182557, 'min_task': -0.282639, 'max_task': -0.126468}","{'mean': 0.070597, 'ci_lo': 0.038885, 'ci_hi': 0.10649, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.75, 'median_task': 0.050151, 'min_task': -0.009571, 'max_task': 0.23626}","{'mean': 0.786, 'ci_lo': 0.761, 'ci_hi': 0.809, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.8, 'min_task': 0.64, 'max_task': 0.88}","{'mean': 0.202158, 'ci_lo': 0.186925, 'ci_hi': 0.218367, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.2, 'min_task': 0.148, 'max_task': 0.27}","{'mean': 0.043592, 'ci_lo': 0.039318, 'ci_hi': 0.048173, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.039524, 'min_task': 0.0296, 'max_task': 0.062308}","{'mean': 0.789036, 'ci_lo': 0.741078, 'ci_hi': 0.858883, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.759833, 'min_task': 0.667588, 'max_task': 1.350832}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M10,boundary,LightGBM
"{'mean': 0.172037, 'ci_lo': 0.142917, 'ci_hi': 0.199827, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.173873, 'min_task': 0.032523, 'max_task': 0.274863}","{'mean': 0.206224, 'ci_lo': 0.186856, 'ci_hi': 0.224708, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.201204, 'min_task': 0.111538, 'max_task': 0.276925}","{'mean': -0.206224, 'ci_lo': -0.224708, 'ci_hi': -0.186856, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': -0.201204, 'min_task': -0.276925, 'max_task': -0.111538}","{'mean': 0.034187, 'ci_lo': 0.018704, 'ci_hi': 0.052476, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 0.9, 'median_task': 0.01851, 'min_task': -0.000484, 'max_task': 0.13795}","{'mean': 0.553746, 'ci_lo': 0.532108, 'ci_hi': 0.575375, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.562667, 'min_task': 0.466583, 'max_task': 0.638167}","{'mean': 0.532603, 'ci_lo': 0.51272, 'ci_hi': 0.552402, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.533233, 'min_task': 0.454067, 'max_task': 0.603833}","{'mean': 0.140328, 'ci_lo': 0.131396, 'ci_hi': 0.149324, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.139975, 'min_task': 0.109, 'max_task': 0.1725}","{'mean': 0.668573, 'ci_lo': 0.627552, 'ci_hi': 0.709843, 'P3_better_frac': 1.0, 'n_tasks': 20, 'positive_task_frac': 1.0, 'median_task': 0.64897, 'min_task': 0.51763, 'max_task': 0.835798}","{'mean': 0.0, 'ci_lo': 0.0, 'ci_hi': 0.0, 'P3_better_frac': 0.0, 'n_tasks': 20, 'positive_task_frac': 0.0, 'median_task': 0.0, 'min_task': 0.0, 'max_task': 0.0}",500,M11,boundary,LightGBM
